J,k,K,S2,N,p,std
10.25226447228636,3.0,1.0262326977016134,666.9999999999999,100,0.75,3.0123762574002098
10.054079847835405,3.25,1.0285283123674194,655.875,100,0.75,3.842787580758523
10.171114248713037,3.5,1.0210742024446746,613.5,100,0.75,3.007441854282508
10.271813265371325,3.75,1.0301949470225762,957.25,100,0.75,2.582011504571708
10.171962829303558,4.0,1.023189701110587,896.9999999999998,100,0.75,3.8002801075123744
10.43779117844229,4.25,1.0526783452296469,1807.2499999999995,100,0.75,2.9853020144391804
10.67565279613648,4.5,1.0545755605098024,1904.4999999999995,100,0.75,2.8426407907880638
10.628309305704045,4.75,1.080291602804804,2528.0000000000005,100,0.75,3.171454540080989
10.219527820192319,5.0,1.015930785718347,1051.0,100,0.75,3.4060631771839986
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,4.62229642294407
6.714395856829452,0.25,0.9933724059394036,5.749999999999999,100,0.75,3.7018891319182456
9.135496980111526,0.5,0.9955592993989004,12.999999999999998,100,0.75,2.974212159194968
9.16096194467198,0.75,0.9984502217627562,35.874999999999986,100,0.75,3.294104481361277
9.51126770346183,1.0,1.0021639179138326,40.999999999999986,100,0.75,3.331560806925836
9.782506028988838,1.25,1.0026380538246007,104.12500000000006,100,0.75,3.753503477025398
9.822740185957366,1.5,1.0041403870721755,127.00000000000003,100,0.75,3.5209562125448253
9.917573379171234,1.75,1.0079243013710015,276.6250000000001,100,0.75,3.3741973025544523
9.809134176313314,2.0,1.0031506437733575,217.0,100,0.75,2.9810825801957437
10.008501651229667,2.25,1.0041070121917657,294.625,100,0.75,3.6856719287492927
9.999964413714121,2.5,1.013581477195328,313.5,100,0.75,3.832877734691598
10.025694073166417,2.75,1.0240103287284734,1074.8749999999995,100,0.75,3.813697740745219
10.007594490667179,3.0,1.020219966886486,469.0,100,0.75,3.1176528929638074
9.96484438686987,3.25,1.022781568094669,529.125,100,0.75,3.118406122339138
10.322942666916568,3.5,1.0471191950671108,1177.0,100,0.75,3.3299088544493323
10.749996908249992,3.75,1.054016280428766,1463.5,100,0.75,4.0745280386655915
10.320692345369388,4.0,1.061523200170877,2785.0000000000005,100,0.75,4.729762607210787
10.923465076549823,4.25,1.0792099873547278,2060.125,100,0.75,3.2019889605729497
10.231304958202989,4.5,1.0212596662286428,1013.4999999999998,100,0.75,3.1494906940833824
10.663250139136895,4.75,1.0575665198280813,2031.6249999999995,100,0.75,4.691011351228669
10.832089291863468,5.0,1.0855660805268348,2801.0000000000005,100,0.75,5.276477309892086
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,2.5169832759371857
6.431285547677502,0.25,0.9919032478787321,3.499999999999999,100,0.75,3.088974409690167
9.13790378142778,0.5,0.995007786681802,19.500000000000004,100,0.75,3.4132393134976913
9.707868421637553,0.75,0.9964771339254559,60.624999999999964,100,0.75,3.0486218734865234
9.781628810748375,1.0,1.0007361636159395,59.0,100,0.75,4.159935318023245
9.364572671202467,1.25,0.9971175711526162,50.999999999999986,100,0.75,3.7472619542068473
9.792238832914046,1.5,0.9995877335422825,104.50000000000001,100,0.75,4.325567561789341
9.80793867375378,1.75,1.00863774805557,147.99999999999994,100,0.75,4.305145320547405
9.874220602422984,2.0,1.0026055461333774,192.9999999999999,100,0.75,2.604907649730015
